name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2022-10-26,27,14.9,20,27.9,14.9,20.1,12.4,63.6,0,0,0,,0,0,23.4,22.3,25.7,1018,74.7,8.3,215.9,18.6,8,,2022-10-26T07:34:48,2022-10-26T19:05:44,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2022-10-27,24.7,14,19.4,24.7,14,19.4,13.1,69.1,2.198,100,4.17,rain,0,0,25.6,18.2,164.8,1017.7,77.8,7.1,189,16.3,7,,2022-10-27T07:35:13,2022-10-27T19:05:08,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2022-10-28,26,11.6,19.2,26,11.6,19.2,11.4,63.8,0.006,100,4.17,rain,0,0,29.5,22.3,107.8,1019.1,48.3,8,232,20.1,8,,2022-10-28T07:35:38,2022-10-28T19:04:34,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2022-10-29,28,13,19.3,28.2,13,19.3,11.3,62.3,0.1,100,4.17,rain,0,0,27,18.4,77.1,1021.5,83.8,9.5,169.5,14.5,6,,2022-10-29T07:36:03,2022-10-29T19:04:00,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-10-30,24.1,13.1,18.8,24.1,13.1,18.8,10.9,63.9,0.382,100,4.17,rain,0,0,23.8,14.6,100.6,1019.8,73.1,8.9,217.5,19.6,8,,2022-10-30T06:36:29,2022-10-30T18:03:28,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-31,24.1,10,17.2,24.1,9.6,17.2,9.4,63.2,0.6,100,16.67,rain,0,0,28.8,27.7,76.6,1019.3,65.1,10.5,197.5,17.1,8,,2022-10-31T06:36:56,2022-10-31T18:02:56,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-11-01,24.9,11,17.9,24.9,11,17.9,9.4,61.1,0,0,0,,0,0,28.8,25.7,18.1,1019.5,41.7,9,202.1,17.1,7,,2022-11-01T06:37:23,2022-11-01T18:02:26,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2022-11-02,25.3,11.1,17.4,25.3,11.1,17.4,8,58.6,0,0,0,,0,0,24.5,18.4,354,1023.1,38.9,9.5,249.9,21.6,9,,2022-11-02T06:37:50,2022-11-02T18:01:57,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2022-11-03,24.1,8.4,17,24.1,8.4,17,8.2,59.7,0.3,100,8.33,rain,0,0,26.3,32.9,55,1021.3,55.5,8.7,204.1,17.7,9,,2022-11-03T06:38:19,2022-11-03T18:01:28,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-11-04,26,7,18.2,26,6.2,18.2,10,62.1,0.702,100,8.33,rain,0,0,37.1,18.4,354.3,1019.4,36.6,10.3,220.9,19,9,,2022-11-04T06:38:47,2022-11-04T18:01:01,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
